Image_creator_script/img_faces_only 2.0/no_mask_images/1img0_NO-MASKED.jpg,NO-MASKED,"[[70, 80, 333, 333]]","[[264, 178, 70, 70], [132, 182, 68, 68]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img1_NO-MASKED.jpg,NO-MASKED,"[[69, 77, 334, 334]]","[[129, 184, 65, 65], [264, 176, 70, 70]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img2_NO-MASKED.jpg,NO-MASKED,"[[76, 85, 326, 326]]","[[267, 179, 67, 67], [127, 181, 70, 70]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img3_NO-MASKED.jpg,NO-MASKED,"[[69, 79, 345, 345]]","[[264, 178, 69, 69], [128, 185, 67, 67]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img4_NO-MASKED.jpg,NO-MASKED,"[[71, 83, 333, 333]]","[[263, 179, 70, 70], [129, 188, 62, 62]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img5_NO-MASKED.jpg,NO-MASKED,"[[60, 73, 352, 352]]","[[265, 182, 67, 67], [129, 188, 62, 62]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img6_NO-MASKED.jpg,NO-MASKED,"[[60, 74, 353, 353]]","[[264, 180, 69, 69], [125, 183, 69, 69]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img7_NO-MASKED.jpg,NO-MASKED,"[[55, 68, 366, 366]]","[[266, 182, 66, 66], [127, 185, 65, 65]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img8_NO-MASKED.jpg,NO-MASKED,"[[67, 76, 340, 340]]","[[269, 182, 63, 63], [128, 182, 68, 68]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img9_NO-MASKED.jpg,NO-MASKED,"[[82, 84, 318, 318]]","[[132, 183, 62, 62], [265, 178, 67, 67]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img10_NO-MASKED.jpg,NO-MASKED,"[[67, 65, 345, 345]]","[[265, 178, 64, 64], [129, 182, 63, 63]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img11_NO-MASKED.jpg,NO-MASKED,"[[73, 78, 316, 316]]","[[270, 181, 58, 58], [128, 179, 64, 64]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img12_NO-MASKED.jpg,NO-MASKED,"[[58, 55, 361, 361]]","[[130, 181, 59, 59], [263, 174, 66, 66]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img13_NO-MASKED.jpg,NO-MASKED,"[[73, 75, 312, 312]]","[[266, 173, 65, 65], [132, 176, 62, 62]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img14_NO-MASKED.jpg,NO-MASKED,"[[73, 65, 323, 323]]","[[269, 174, 58, 58], [134, 176, 59, 59]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img15_NO-MASKED.jpg,NO-MASKED,"[[79, 77, 305, 305]]","[[267, 175, 56, 56], [137, 176, 56, 56]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img16_NO-MASKED.jpg,NO-MASKED,"[[70, 51, 334, 334]]","[[270, 174, 55, 55], [136, 171, 62, 62]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img17_NO-MASKED.jpg,NO-MASKED,"[[87, 81, 309, 309]]","[[270, 183, 57, 57], [141, 183, 61, 61]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img18_NO-MASKED.jpg,NO-MASKED,"[[86, 75, 322, 322]]","[[272, 184, 59, 59], [143, 182, 64, 64]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img19_NO-MASKED.jpg,NO-MASKED,"[[75, 75, 333, 333]]","[[271, 186, 63, 63], [141, 185, 66, 66]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img20_NO-MASKED.jpg,NO-MASKED,"[[86, 88, 317, 317]]","[[145, 192, 61, 61], [276, 188, 62, 62]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img21_NO-MASKED.jpg,NO-MASKED,"[[89, 90, 317, 317]]","[[148, 197, 56, 56], [266, 183, 77, 77]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img22_NO-MASKED.jpg,NO-MASKED,"[[79, 80, 339, 339]]","[[275, 191, 66, 66], [141, 189, 72, 72]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img23_NO-MASKED.jpg,NO-MASKED,"[[89, 95, 323, 323]]","[[268, 188, 74, 74], [153, 206, 48, 48]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img24_NO-MASKED.jpg,NO-MASKED,"[[88, 96, 321, 321]]","[[147, 199, 59, 59], [281, 200, 60, 60]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img25_NO-MASKED.jpg,NO-MASKED,"[[87, 94, 323, 323]]","[[271, 194, 70, 70], [149, 201, 60, 60]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img26_NO-MASKED.jpg,NO-MASKED,"[[86, 92, 339, 339]]","[[149, 198, 64, 64], [281, 199, 66, 66]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img27_NO-MASKED.jpg,NO-MASKED,"[[83, 93, 340, 340]]","[[156, 203, 57, 57], [280, 197, 68, 68]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img28_NO-MASKED.jpg,NO-MASKED,"[[83, 93, 349, 349]]","[[152, 205, 57, 57], [286, 200, 70, 70]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img29_NO-MASKED.jpg,NO-MASKED,"[[86, 90, 352, 352]]","[[159, 205, 59, 59], [290, 203, 66, 66]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img30_NO-MASKED.jpg,NO-MASKED,"[[82, 85, 358, 358]]","[[161, 205, 56, 56], [289, 200, 73, 73]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img31_NO-MASKED.jpg,NO-MASKED,"[[97, 92, 343, 343]]","[[164, 200, 61, 61], [294, 199, 71, 71]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img32_NO-MASKED.jpg,NO-MASKED,"[[117, 95, 339, 339]]","[[177, 196, 61, 61], [307, 200, 72, 72]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img33_NO-MASKED.jpg,NO-MASKED,"[[128, 94, 331, 331]]","[[189, 189, 73, 73], [318, 204, 68, 68]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img34_NO-MASKED.jpg,NO-MASKED,"[[133, 95, 331, 331]]","[[197, 192, 67, 67], [326, 206, 67, 67]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img35_NO-MASKED.jpg,NO-MASKED,"[[136, 95, 331, 331]]","[[205, 191, 71, 71], [344, 217, 52, 52]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img36_NO-MASKED.jpg,NO-MASKED,"[[136, 95, 331, 331]]","[[213, 192, 64, 64], [343, 209, 66, 66]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img37_NO-MASKED.jpg,NO-MASKED,"[[136, 86, 331, 331]]","[[336, 198, 69, 69], [205, 184, 63, 63]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img38_NO-MASKED.jpg,NO-MASKED,"[[148, 98, 312, 312]]","[[195, 184, 65, 65], [329, 196, 71, 71]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img39_NO-MASKED.jpg,NO-MASKED,"[[133, 94, 319, 319]]","[[187, 184, 64, 64], [321, 197, 65, 65]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img40_NO-MASKED.jpg,NO-MASKED,"[[113, 86, 339, 339]]","[[310, 191, 73, 73], [180, 185, 64, 64]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img41_NO-MASKED.jpg,NO-MASKED,"[[105, 84, 333, 333]]","[[168, 184, 66, 66], [304, 187, 75, 75]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img42_NO-MASKED.jpg,NO-MASKED,"[[104, 83, 334, 334]]","[[157, 180, 74, 74], [296, 186, 72, 72]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img43_NO-MASKED.jpg,NO-MASKED,"[[84, 72, 356, 356]]","[[289, 185, 71, 71], [150, 182, 71, 71]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img44_NO-MASKED.jpg,NO-MASKED,"[[74, 78, 348, 348]]","[[277, 182, 72, 72], [141, 184, 70, 70]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img45_NO-MASKED.jpg,NO-MASKED,"[[68, 75, 350, 350]]","[[134, 187, 67, 67], [267, 180, 74, 74]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img46_NO-MASKED.jpg,NO-MASKED,"[[62, 80, 344, 344]]","[[128, 189, 68, 68], [259, 182, 72, 72]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img47_NO-MASKED.jpg,NO-MASKED,"[[53, 72, 353, 353]]","[[122, 188, 67, 67], [252, 180, 72, 72]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img48_NO-MASKED.jpg,NO-MASKED,"[[56, 84, 331, 331]]","[[244, 179, 73, 73], [117, 189, 68, 68]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img49_NO-MASKED.jpg,NO-MASKED,"[[46, 82, 341, 341]]","[[112, 190, 67, 67], [241, 182, 67, 67]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img50_NO-MASKED.jpg,NO-MASKED,"[[54, 85, 329, 329]]","[[110, 191, 65, 65], [240, 180, 69, 69]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img51_NO-MASKED.jpg,NO-MASKED,"[[47, 81, 333, 333]]","[[114, 196, 58, 58], [241, 181, 66, 66]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img52_NO-MASKED.jpg,NO-MASKED,"[[55, 92, 306, 306]]","[[238, 180, 66, 66], [111, 192, 62, 62]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img53_NO-MASKED.jpg,NO-MASKED,"[[54, 87, 311, 311]]","[[231, 176, 72, 72], [108, 194, 61, 61]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img54_NO-MASKED.jpg,NO-MASKED,"[[49, 80, 323, 323]]","[[234, 177, 67, 67], [105, 191, 63, 63]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img55_NO-MASKED.jpg,NO-MASKED,"[[42, 78, 320, 320]]","[[106, 191, 60, 60], [235, 179, 58, 58]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img56_NO-MASKED.jpg,NO-MASKED,"[[62, 104, 268, 268]]","[[231, 173, 66, 66], [105, 193, 55, 55]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img57_NO-MASKED.jpg,NO-MASKED,"[[52, 82, 293, 293]]","[[105, 191, 56, 56], [232, 176, 57, 57]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img58_NO-MASKED.jpg,NO-MASKED,"[[54, 88, 297, 297]]","[[113, 201, 48, 48], [240, 182, 53, 53]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img59_NO-MASKED.jpg,NO-MASKED,"[[60, 96, 280, 280]]","[[110, 194, 61, 61], [239, 184, 55, 55]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img60_NO-MASKED.jpg,NO-MASKED,"[[52, 90, 301, 301]]","[[109, 194, 65, 65], [232, 183, 63, 63]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img61_NO-MASKED.jpg,NO-MASKED,"[[56, 104, 290, 290]]","[[109, 201, 61, 61], [236, 188, 61, 61]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img62_NO-MASKED.jpg,NO-MASKED,"[[54, 99, 310, 310]]","[[232, 191, 61, 61], [106, 202, 62, 62]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img63_NO-MASKED.jpg,NO-MASKED,"[[45, 97, 324, 324]]","[[232, 191, 64, 64], [108, 206, 59, 59]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img64_NO-MASKED.jpg,NO-MASKED,"[[49, 107, 313, 313]]","[[232, 195, 67, 67], [106, 209, 63, 63]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img65_NO-MASKED.jpg,NO-MASKED,"[[45, 102, 325, 325]]","[[228, 194, 71, 71], [107, 211, 62, 62]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img66_NO-MASKED.jpg,NO-MASKED,"[[40, 98, 347, 347]]","[[235, 199, 67, 67], [106, 210, 67, 67]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img67_NO-MASKED.jpg,NO-MASKED,"[[41, 102, 341, 341]]","[[230, 199, 69, 69], [102, 212, 67, 67]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img68_NO-MASKED.jpg,NO-MASKED,"[[37, 101, 349, 349]]","[[230, 199, 72, 72], [104, 215, 64, 64]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img69_NO-MASKED.jpg,NO-MASKED,"[[42, 108, 339, 339]]","[[232, 202, 70, 70], [106, 217, 63, 63]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img70_NO-MASKED.jpg,NO-MASKED,"[[48, 110, 333, 333]]","[[232, 203, 71, 71], [105, 218, 64, 64]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img71_NO-MASKED.jpg,NO-MASKED,"[[51, 117, 319, 319]]","[[232, 203, 72, 72], [103, 214, 70, 70]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img72_NO-MASKED.jpg,NO-MASKED,"[[44, 110, 335, 335]]","[[229, 206, 69, 69], [104, 219, 64, 64]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img73_NO-MASKED.jpg,NO-MASKED,"[[42, 111, 340, 340]]","[[231, 204, 71, 71], [103, 220, 63, 63]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img74_NO-MASKED.jpg,NO-MASKED,"[[37, 107, 346, 346]]","[[231, 202, 73, 73], [102, 219, 65, 65]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img75_NO-MASKED.jpg,NO-MASKED,"[[44, 113, 334, 334]]","[[235, 209, 64, 64], [101, 218, 66, 66]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img76_NO-MASKED.jpg,NO-MASKED,"[[45, 111, 335, 335]]","[[232, 206, 69, 69], [100, 216, 68, 68]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img77_NO-MASKED.jpg,NO-MASKED,"[[45, 119, 322, 322]]","[[227, 203, 74, 74], [101, 219, 63, 63]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img78_NO-MASKED.jpg,NO-MASKED,"[[47, 111, 331, 331]]","[[233, 203, 69, 69], [106, 217, 63, 63]]"
Image_creator_script/img_faces_only 2.0/no_mask_images/1img79_NO-MASKED.jpg,NO-MASKED,"[[46, 106, 343, 343]]","[[237, 202, 70, 70], [110, 213, 67, 67]]"
